Brand,Button,URL (сюда вставлять ссылку),Note (необязательно)
1win,Играть,https://one-vv8234.com/casino/list?open=register&p=bssd,
1win,APK,https://one-vv8234.com/casino/list?open=register&p=bssd,
1win,Подробнее,,
Mostbet,Играть,https://weg96sbmb.com/7mzs,
Mostbet,APK,https://weg96sbmb.com/7mzs,
Mostbet,Подробнее,,
1xBet,Играть,https://reffpa.com/L?tag=d_5444960m_1599c_&site=5444960&ad=1599&r=registration,
1xBet,APK,https://reffpa.com/L?tag=d_5444960m_1599c_&site=5444960&ad=1599&r=registration,
1xBet,Подробнее,,
Yohohobet,Играть,https://refpa85380.com/L?tag=d_3531426m_72759c_&site=3531426&ad=72759&r=registration,
Yohohobet,APK,https://refpa85380.com/L?tag=d_3531426m_72759c_&site=3531426&ad=72759&r=registration,
Yohohobet,Подробнее,,
UltraPari,Играть,https://refpa42156.com/L?tag=d_5165770m_118408c_&site=5165770&ad=118408,
UltraPari,APK,https://refpa42156.com/L?tag=d_5165770m_118408c_&site=5165770&ad=118408,
UltraPari,Подробнее,,
MegaPari,Играть,https://refpazitag.top/L?tag=d_5263791m_25437c_&site=5263791&ad=25437&r=registration,
MegaPari,APK,https://refpazitag.top/L?tag=d_5263791m_25437c_&site=5263791&ad=25437&r=registration,
MegaPari,Подробнее,,
Melbet,Играть,https://refpa3665.com/L?tag=d_1507303m_45415c_&site=1507303&ad=45415&r=registration,
Melbet,APK,https://refpa3665.com/L?tag=d_1507303m_45415c_&site=1507303&ad=45415&r=registration,
Melbet,Подробнее,,
Pin-Up,Играть,https://onlinepnplnk.com/5Z8mjlK0/?subId2=Brand,
Pin-Up,APK,https://onlinepnplnk.com/5Z8mjlK0/?subId2=Brand,
Pin-Up,Подробнее,,
Lukkly,Играть,https://lukklyplay.com/t3jhk0n65,
Lukkly,APK,https://lukklyplay.com/t3jhk0n65,
Lukkly,Подробнее,,
Only Bets,Играть,https://sigmatds.com/api/track/2365,
Only Bets,APK,https://sigmatds.com/api/track/2365,
Only Bets,Подробнее,,
Cactus,Играть,https://lacoberturayanet.xyz/affiliate/c_v2sepdu7?path=%2Fregistration,
Cactus,APK,https://lacoberturayanet.xyz/affiliate/c_v2sepdu7?path=%2Fregistration,
Cactus,Подробнее,,
